Timestamp,FromAccount,ToAccount,Amount_Received,Receiving_Currency,Amount_Paid,Payment_Currency,suspected_money_laundering_involvement
10-09-2022 0.20,8044129C0,805113DF0,47.79,US Dollar,47.79,US Dollar,
10-09-2022 0.09,80440F9F0,800942830,181.91,US Dollar,181.91,US Dollar,
10-09-2022 0.17,80440FA90,80BDACAA0,30.79,US Dollar,30.79,US Dollar,
10-09-2022 0.12,8017A7F60,80441EED0,4254.57,US Dollar,4254.57,US Dollar,
10-09-2022 0.29,804420150,813387F10,9.0,US Dollar,9.0,US Dollar,
10-09-2022 0.26,804456760,80B0CBA20,12.17,US Dollar,12.17,US Dollar,
10-09-2022 0.00,80445C070,8028BCEF0,143.7,US Dollar,143.7,US Dollar,
10-09-2022 0.00,80445C110,80DD90340,9.58,US Dollar,9.58,US Dollar,
10-09-2022 0.04,80445D0B0,8013830B0,129.45,US Dollar,129.45,US Dollar,
10-09-2022 0.19,804461C10,80E75C710,3.82,US Dollar,3.82,US Dollar,
10-09-2022 0.10,804452980,812D2FDC0,21.59,US Dollar,21.59,US Dollar,
10-09-2022 0.17,804458D00,8034D2BB0,187.5,US Dollar,187.5,US Dollar,
10-09-2022 0.02,80445FA30,80A74BE70,48.65,US Dollar,48.65,US Dollar,
10-09-2022 0.00,8044606C0,80259BFB0,171.39,US Dollar,171.39,US Dollar,
10-09-2022 0.08,8044CA6C0,80B833DD0,1.61,US Dollar,1.61,US Dollar,
10-09-2022 0.29,804507670,8035FFC80,467.59,US Dollar,467.59,US Dollar,
10-09-2022 0.11,100428660,80451BD80,111.95,US Dollar,111.95,US Dollar,
10-09-2022 0.13,100428660,80451BD80,79.62,US Dollar,79.62,US Dollar,
10-09-2022 0.20,804521000,80DC69E80,3.67,US Dollar,3.67,US Dollar,
10-09-2022 0.26,804521FF0,803CE33B0,6.04,US Dollar,6.04,US Dollar,
10-09-2022 0.15,802446090,804554E70,84.54,US Dollar,84.54,US Dollar,
10-09-2022 0.24,802446090,804554E70,875.94,US Dollar,875.94,US Dollar,
10-09-2022 0.02,802BA8B00,80458BDF0,1025.78,US Dollar,1025.78,US Dollar,
10-09-2022 0.25,802BA8B00,80458BDF0,1293.63,US Dollar,1293.63,US Dollar,
10-09-2022 0.09,804589020,80C001A70,67.26,US Dollar,67.26,US Dollar,
10-09-2022 0.22,8045BE790,8004369E0,67.55,US Dollar,67.55,US Dollar,
10-09-2022 0.19,8045C0B20,801A8FC40,194.8,US Dollar,194.8,US Dollar,
10-09-2022 0.02,8045B99A0,813EF7530,52.94,US Dollar,52.94,US Dollar,
10-09-2022 0.26,8045BB420,8134C8370,144.59,US Dollar,144.59,US Dollar,
10-09-2022 0.25,8045BC960,80CE092B0,23.79,US Dollar,23.79,US Dollar,
10-09-2022 0.20,8045C35E0,813EF7530,48.49,US Dollar,48.49,US Dollar,
10-09-2022 0.19,8045C50C0,80CE092B0,2.61,US Dollar,2.61,US Dollar,
10-09-2022 0.11,800B52200,8045CD9D0,5116.42,US Dollar,5116.42,US Dollar,
10-09-2022 0.25,8045D1600,801E0AAA0,6.08,US Dollar,6.08,US Dollar,
10-09-2022 0.28,8045D7F10,810DDAB90,258.8,US Dollar,258.8,US Dollar,
10-09-2022 0.06,8045CB5A0,807D8ABE0,48.46,US Dollar,48.46,US Dollar,
10-09-2022 0.05,8045CE9D0,80DC85850,1.27,US Dollar,1.27,US Dollar,
10-09-2022 0.00,8045D44F0,8111E1DA0,17.36,US Dollar,17.36,US Dollar,
10-09-2022 0.13,8045DAEA0,811EB1530,39.76,US Dollar,39.76,US Dollar,
10-09-2022 0.26,8045B0990,80B61D8E0,134.4,US Dollar,134.4,US Dollar,
10-09-2022 0.18,8045E4360,800F6BCF0,96.45,US Dollar,96.45,US Dollar,
10-09-2022 0.12,802004C30,804600FB0,1471.95,US Dollar,1471.95,US Dollar,
10-09-2022 0.19,802004C30,804600FB0,389.99,US Dollar,389.99,US Dollar,
10-09-2022 0.11,804600AA0,80F641A30,5.56,US Dollar,5.56,US Dollar,
10-09-2022 0.00,8016A2050,8046C5380,145.85,US Dollar,145.85,US Dollar,
10-09-2022 0.14,802E7C420,804750C70,509.17,US Dollar,509.17,US Dollar,
10-09-2022 0.16,802E7C420,804750C70,237.82,US Dollar,237.82,US Dollar,
10-09-2022 0.07,804752560,80E32E890,68.03,US Dollar,68.03,US Dollar,
10-09-2022 0.05,8047588A0,813363680,9.71,US Dollar,9.71,US Dollar,
10-09-2022 0.04,804751C70,814190360,38.24,US Dollar,38.24,US Dollar,
10-09-2022 0.10,804755780,8006AD830,72.13,US Dollar,72.13,US Dollar,
10-09-2022 0.08,80479CEB0,80341FCC0,37.55,US Dollar,37.55,US Dollar,
10-09-2022 0.09,8047E96E0,80520F260,27.2,US Dollar,27.2,US Dollar,
10-09-2022 0.26,8047EAE50,801370400,41.44,US Dollar,41.44,US Dollar,
10-09-2022 0.14,8047EAEF0,80520F730,4.64,US Dollar,4.64,US Dollar,
10-09-2022 0.21,8047EFDB0,803E2BBE0,27.12,US Dollar,27.12,US Dollar,
10-09-2022 0.02,8047F1040,802688F60,3.64,US Dollar,3.64,US Dollar,
10-09-2022 0.12,8003025B0,804833D90,607.29,US Dollar,607.29,US Dollar,
10-09-2022 0.05,8003025B0,804833D90,745.49,US Dollar,745.49,US Dollar,
10-09-2022 0.21,8048506A0,80D921630,0.93,US Dollar,0.93,US Dollar,
10-09-2022 0.08,8048538F0,80349F3F0,127.86,US Dollar,127.86,US Dollar,
10-09-2022 0.22,804854EE0,8106D8730,52.38,US Dollar,52.38,US Dollar,
10-09-2022 0.06,80483E9A0,81118B9A0,125.13,US Dollar,125.13,US Dollar,
10-09-2022 0.01,804846D70,809EB9170,140.56,US Dollar,140.56,US Dollar,
10-09-2022 0.05,80484CF00,809EB9170,58.35,US Dollar,58.35,US Dollar,
10-09-2022 0.15,80485FB00,80FF193C0,23.92,US Dollar,23.92,US Dollar,
10-09-2022 0.04,804872460,80141E3A0,103.21,US Dollar,103.21,US Dollar,
10-09-2022 0.20,804874090,805175D90,13.01,US Dollar,13.01,US Dollar,
10-09-2022 0.03,80487FA50,80D2A3C10,1.86,US Dollar,1.86,US Dollar,
10-09-2022 0.08,804883830,80E504C40,10.28,US Dollar,10.28,US Dollar,
10-09-2022 0.21,8048B6DE0,80664DC80,9.55,US Dollar,9.55,US Dollar,
10-09-2022 0.07,8048D3A70,8003F71E0,3.66,US Dollar,3.66,US Dollar,
10-09-2022 0.14,8048E3C60,81145A0F0,1.79,US Dollar,1.79,US Dollar,
10-09-2022 0.04,802073940,80C768EE0,40.09,US Dollar,40.09,US Dollar,
10-09-2022 0.05,80491BED0,8015B8330,1.57,US Dollar,1.57,US Dollar,
10-09-2022 0.29,804944040,80F9ED7A0,14.83,US Dollar,14.83,US Dollar,
10-09-2022 0.21,804942630,80260E490,13.04,US Dollar,13.04,US Dollar,
10-09-2022 0.14,804946E30,80F722ED0,32.89,US Dollar,32.89,US Dollar,
10-09-2022 0.26,8046D6290,80494FEF0,26484.76,US Dollar,26484.76,US Dollar,
10-09-2022 0.01,8046D6290,80494FEF0,13218.27,US Dollar,13218.27,US Dollar,
10-09-2022 0.12,8046D6290,80494FEF0,6028.67,US Dollar,6028.67,US Dollar,
10-09-2022 0.24,8046D6290,80494FEF0,18600.92,US Dollar,18600.92,US Dollar,
10-09-2022 0.17,801886BD0,804954730,13149.81,US Dollar,13149.81,US Dollar,
10-09-2022 0.19,801886BD0,804954730,7377.85,US Dollar,7377.85,US Dollar,
10-09-2022 0.13,804959E10,80407A190,469.37,US Dollar,469.37,US Dollar,
10-09-2022 0.14,80494B6B0,80F58A350,98.67,US Dollar,98.67,US Dollar,
10-09-2022 0.08,80125B8D0,80497FC70,2624.39,US Dollar,2624.39,US Dollar,
10-09-2022 0.05,80125B8D0,80497FC70,2431.05,US Dollar,2431.05,US Dollar,
10-09-2022 0.29,804991820,80DC76800,7.82,US Dollar,7.82,US Dollar,
10-09-2022 0.28,804A775A0,800C57F40,32.34,US Dollar,32.34,US Dollar,
10-09-2022 0.09,804AF6ED0,8146F0070,51.45,US Dollar,51.45,US Dollar,
10-09-2022 0.00,804AF7240,80A750480,1.38,US Dollar,1.38,US Dollar,
10-09-2022 0.25,804AF2E30,810DE8290,43.38,US Dollar,43.38,US Dollar,
10-09-2022 0.16,804AF5D40,810DE8290,178.49,US Dollar,178.49,US Dollar,
10-09-2022 0.00,804AFE960,800131480,8.87,US Dollar,8.87,US Dollar,
10-09-2022 0.03,804B039B0,8085887E0,89.91,US Dollar,89.91,US Dollar,
10-09-2022 0.02,804B03A00,807F45200,8.29,US Dollar,8.29,US Dollar,
10-09-2022 0.11,804AEE210,813278EB0,91.3,US Dollar,91.3,US Dollar,
10-09-2022 0.16,804AF0050,80960B7C0,6.09,US Dollar,6.09,US Dollar,
10-09-2022 0.15,804B15C40,811C94350,18.9,US Dollar,18.9,US Dollar,
10-09-2022 0.06,804B3E810,801A82B20,46.38,US Dollar,46.38,US Dollar,
10-09-2022 0.17,804B43600,810C826B0,0.69,US Dollar,0.69,US Dollar,
10-09-2022 0.09,804BA2670,81215DB00,7.9,US Dollar,7.9,US Dollar,
10-09-2022 0.02,804BA3680,805243B70,114.15,US Dollar,114.15,US Dollar,
10-09-2022 0.12,804BA7020,800794E30,43.45,US Dollar,43.45,US Dollar,
10-09-2022 0.28,804BA51D0,80E1AB3E0,1261.41,US Dollar,1261.41,US Dollar,
10-09-2022 0.09,804BA7950,805A9A0A0,144.09,US Dollar,144.09,US Dollar,
10-09-2022 0.01,80133FE80,804BB6FE0,2234.89,US Dollar,2234.89,US Dollar,
10-09-2022 0.15,80133FE80,804BB6FE0,876.36,US Dollar,876.36,US Dollar,
10-09-2022 0.13,804BB6CA0,813130AA0,89.25,US Dollar,89.25,US Dollar,
10-09-2022 0.11,804BD3E40,80C8B87B0,15.5,US Dollar,15.5,US Dollar,
10-09-2022 0.17,804C33740,800E72370,2.51,US Dollar,2.51,US Dollar,
10-09-2022 0.05,804C34240,800FB7080,41.2,US Dollar,41.2,US Dollar,
10-09-2022 0.25,804D1A630,8010098B0,29.38,US Dollar,29.38,US Dollar,
10-09-2022 0.20,804D23AB0,8060F85F0,43.68,US Dollar,43.68,US Dollar,
10-09-2022 0.22,804D279E0,8019333D0,18.31,US Dollar,18.31,US Dollar,
10-09-2022 0.27,804D2A8B0,80A0EF300,79.75,US Dollar,79.75,US Dollar,
10-09-2022 0.03,804D2AEF0,8112395B0,194.46,US Dollar,194.46,US Dollar,
10-09-2022 0.12,804D2B0D0,80A0EF300,101.54,US Dollar,101.54,US Dollar,
10-09-2022 0.29,804D32D50,8003C68B0,181.14,US Dollar,181.14,US Dollar,
10-09-2022 0.09,804D33A30,810779610,4.17,US Dollar,4.17,US Dollar,
10-09-2022 0.20,804D1B5E0,80152BF60,7.26,US Dollar,7.26,US Dollar,
10-09-2022 0.01,804D1FAB0,8141AFD10,40.83,US Dollar,40.83,US Dollar,
10-09-2022 0.06,804D21330,802B12480,133.5,US Dollar,133.5,US Dollar,
10-09-2022 0.10,804D21890,807CF1100,84.28,US Dollar,84.28,US Dollar,
10-09-2022 0.03,804D16110,80894B530,37.4,US Dollar,37.4,US Dollar,
10-09-2022 0.11,804D162C0,8032CA500,2.99,US Dollar,2.99,US Dollar,
10-09-2022 0.17,804D14220,8100C11D0,22.57,US Dollar,22.57,US Dollar,
10-09-2022 0.28,804D5E950,808D64150,292.24,US Dollar,292.24,US Dollar,
10-09-2022 0.04,804DC1C90,801783810,20.67,US Dollar,20.67,US Dollar,
10-09-2022 0.23,804DC8360,8011F0870,3.79,US Dollar,3.79,US Dollar,
10-09-2022 0.29,804DC4A40,803A08BE0,280.73,US Dollar,280.73,US Dollar,
10-09-2022 0.09,800FBE810,804DD0FB0,186.87,US Dollar,186.87,US Dollar,
10-09-2022 0.01,800FBE810,804DD0FB0,214.46,US Dollar,214.46,US Dollar,
10-09-2022 0.09,804DD8D70,80F2A25A0,14.77,US Dollar,14.77,US Dollar,
10-09-2022 0.23,804DE6220,80C6B3FD0,18.41,US Dollar,18.41,US Dollar,
10-09-2022 0.26,804DE7710,8026785C0,0.19,US Dollar,0.19,US Dollar,
10-09-2022 0.08,804DD9C10,80E43D350,152.76,US Dollar,152.76,US Dollar,
10-09-2022 0.16,804DDADF0,81328C750,2.51,US Dollar,2.51,US Dollar,
10-09-2022 0.25,804DDEFA0,80E43D350,17.84,US Dollar,17.84,US Dollar,
10-09-2022 0.09,804DE0140,80685D570,17.0,US Dollar,17.0,US Dollar,
10-09-2022 0.12,804DF4A60,8122EE260,9.56,US Dollar,9.56,US Dollar,
10-09-2022 0.08,800FC2A60,804E253C0,277.33,US Dollar,277.33,US Dollar,
10-09-2022 0.03,800FC2A60,804E253C0,1489.45,US Dollar,1489.45,US Dollar,
10-09-2022 0.29,804E28FB0,8063EB8A0,48.71,US Dollar,48.71,US Dollar,
10-09-2022 0.02,804E1F710,80509DA50,30.38,US Dollar,30.38,US Dollar,
10-09-2022 0.06,804E4BEB0,806950F70,0.73,US Dollar,0.73,US Dollar,
10-09-2022 0.13,804E5CA10,803B6DB80,146.74,US Dollar,146.74,US Dollar,
10-09-2022 0.21,804E600A0,804B3BB70,86.35,US Dollar,86.35,US Dollar,
10-09-2022 0.28,804E67530,8041C8630,7.34,US Dollar,7.34,US Dollar,
10-09-2022 0.13,804E70DA0,80DFC0950,38.26,US Dollar,38.26,US Dollar,
10-09-2022 0.12,804E74F90,8103EBF70,109.09,US Dollar,109.09,US Dollar,
10-09-2022 0.00,804E88860,811607D80,41.43,US Dollar,41.43,US Dollar,
10-09-2022 0.10,804E89390,8018D8CF0,176.31,US Dollar,176.31,US Dollar,
10-09-2022 0.02,802ED6670,804E98190,91.79,US Dollar,91.79,US Dollar,
10-09-2022 0.05,802ED6670,804E98190,151.42,US Dollar,151.42,US Dollar,
10-09-2022 0.05,804E98C50,804E98C50,4033.92,Ruble,51.85,US Dollar,
10-09-2022 0.05,804E98C50,806B10870,4033.92,Ruble,4033.92,Ruble,
10-09-2022 0.19,804E9B040,811C86130,133.56,US Dollar,133.56,US Dollar,
10-09-2022 0.14,804E902D0,8141B3D10,6.04,US Dollar,6.04,US Dollar,
10-09-2022 0.12,804E90900,802DB1C20,110.02,US Dollar,110.02,US Dollar,
10-09-2022 0.00,804E9E370,801AA53C0,109.44,US Dollar,109.44,US Dollar,
10-09-2022 0.27,801833320,804EA7900,68.09,US Dollar,68.09,US Dollar,
10-09-2022 0.11,801833320,804EA7900,86.61,US Dollar,86.61,US Dollar,
10-09-2022 0.16,804E78310,80D88FE40,48.63,US Dollar,48.63,US Dollar,
10-09-2022 0.03,804EA3130,80D88FE40,40.69,US Dollar,40.69,US Dollar,
10-09-2022 0.19,804EA4200,803307510,11.66,US Dollar,11.66,US Dollar,
10-09-2022 0.18,804E38D00,80CBB8DC0,16.02,US Dollar,16.02,US Dollar,
10-09-2022 0.22,804E44310,804314AB0,50.45,US Dollar,50.45,US Dollar,
10-09-2022 0.06,804ED8250,802E7FDC0,48.74,US Dollar,48.74,US Dollar,
10-09-2022 0.27,804ED9A60,805159D70,0.87,US Dollar,0.87,US Dollar,
10-09-2022 0.17,804EE3BC0,80521AEF0,27.34,US Dollar,27.34,US Dollar,
10-09-2022 0.00,802FD9FC0,802FD9FC0,282.44,US Dollar,1891.67,Yuan,
10-09-2022 0.00,802FD9FC0,804EEAF80,282.44,US Dollar,282.44,US Dollar,
10-09-2022 0.12,802FD9FC0,802FD9FC0,293.96,US Dollar,1968.84,Yuan,
10-09-2022 0.12,802FD9FC0,804EEAF80,293.96,US Dollar,293.96,US Dollar,
10-09-2022 0.11,804EC8080,807111FA0,109.74,US Dollar,109.74,US Dollar,
10-09-2022 0.01,804F1E890,800B17FA0,92.77,US Dollar,92.77,US Dollar,
10-09-2022 0.18,8026CAB60,804F21AE0,10840.03,US Dollar,10840.03,US Dollar,
10-09-2022 0.06,801531410,804F46350,1505.34,US Dollar,1505.34,US Dollar,
10-09-2022 0.28,801531410,804F46350,985.6,US Dollar,985.6,US Dollar,
10-09-2022 0.18,804F54F20,810441C20,17.25,US Dollar,17.25,US Dollar,
10-09-2022 0.25,804F59490,813097350,35.39,US Dollar,35.39,US Dollar,
10-09-2022 0.09,801195A90,804F5C300,14066.94,US Dollar,14066.94,US Dollar,
10-09-2022 0.18,801195A90,804F5C300,3431.3,US Dollar,3431.3,US Dollar,
10-09-2022 0.02,804F5C550,8081EA4D0,117.24,US Dollar,117.24,US Dollar,
10-09-2022 0.27,804F5ECE0,80D1A3350,387.55,US Dollar,387.55,US Dollar,
10-09-2022 0.14,804FC1AC0,80CFCF450,23.52,US Dollar,23.52,US Dollar,
10-09-2022 0.29,80504F7B0,801364C90,87.93,US Dollar,87.93,US Dollar,
10-09-2022 0.08,805089DD0,801A91CF0,47.3,US Dollar,47.3,US Dollar,
10-09-2022 0.14,8050972D0,804EA51F0,106.58,US Dollar,106.58,US Dollar,
10-09-2022 0.01,8050A4070,81428B260,123.63,US Dollar,123.63,US Dollar,
10-09-2022 0.09,8050B04E0,806430DC0,24.58,US Dollar,24.58,US Dollar,
10-09-2022 0.27,8050B0580,8012750F0,18.05,US Dollar,18.05,US Dollar,
10-09-2022 0.13,805106160,811735CF0,125.61,US Dollar,125.61,US Dollar,
10-09-2022 0.09,8050A3310,805122B50,8107.1,US Dollar,8107.1,US Dollar,
10-09-2022 0.21,805128C00,8004572B0,255.85,US Dollar,255.85,US Dollar,
10-09-2022 0.02,802E26A40,8051540C0,154611.35,US Dollar,154611.35,US Dollar,
10-09-2022 0.11,802E26A40,8051540C0,6803.19,US Dollar,6803.19,US Dollar,
10-09-2022 0.16,80512AB60,805B937C0,155.57,US Dollar,155.57,US Dollar,
10-09-2022 0.21,805157D00,8006B0490,133.96,US Dollar,133.96,US Dollar,
10-09-2022 0.26,100428660,80515A180,469.23,US Dollar,469.23,US Dollar,
10-09-2022 0.23,80515E100,809895C30,7.62,US Dollar,7.62,US Dollar,
10-09-2022 0.22,805164F70,80145B5D0,76.79,US Dollar,76.79,US Dollar,
10-09-2022 0.15,805165150,81402F840,147.33,US Dollar,147.33,US Dollar,
10-09-2022 0.14,805157560,80E6B3AE0,72.29,US Dollar,72.29,US Dollar,
10-09-2022 0.13,80515CB00,804282340,167.06,US Dollar,167.06,US Dollar,
10-09-2022 0.03,805117060,8096E4BC0,59.34,US Dollar,59.34,US Dollar,
10-09-2022 0.25,8051724E0,807288020,150.07,US Dollar,150.07,US Dollar,
10-09-2022 0.26,805183910,81280B0A0,6.83,US Dollar,6.83,US Dollar,
10-09-2022 0.08,805185F30,814832050,45.46,US Dollar,45.46,US Dollar,
10-09-2022 0.04,800A66750,80518CA10,663.25,US Dollar,663.25,US Dollar,
10-09-2022 0.25,800A66750,80518CA10,1802.68,US Dollar,1802.68,US Dollar,
10-09-2022 0.26,80518D2C0,8003DCC90,43.92,US Dollar,43.92,US Dollar,
10-09-2022 0.15,8051928A0,805EE4030,32.5,US Dollar,32.5,US Dollar,
10-09-2022 0.27,805187040,80D02F0D0,84.16,US Dollar,84.16,US Dollar,
10-09-2022 0.00,805196550,80B5880A0,0.66,US Dollar,0.66,US Dollar,
10-09-2022 0.20,80479F2F0,80FD594F0,7.41,US Dollar,7.41,US Dollar,
10-09-2022 0.27,8051C3090,8056F7850,30.54,US Dollar,30.54,US Dollar,
10-09-2022 0.17,8051C28D0,811116B20,134.55,US Dollar,134.55,US Dollar,
10-09-2022 0.22,8051C90F0,80B537840,9.33,US Dollar,9.33,US Dollar,
10-09-2022 0.06,8051D3870,807196910,185.69,US Dollar,185.69,US Dollar,
10-09-2022 0.01,8051B9570,81009F620,1.46,US Dollar,1.46,US Dollar,
10-09-2022 0.12,8051B9840,8137502A0,707.57,US Dollar,707.57,US Dollar,
10-09-2022 0.05,8051CFF10,80CDDE960,170.22,US Dollar,170.22,US Dollar,
10-09-2022 0.17,8051D8730,80948E660,165.54,US Dollar,165.54,US Dollar,
10-09-2022 0.28,8051E63C0,807334B10,62.4,US Dollar,62.4,US Dollar,
10-09-2022 0.03,8051E6B90,8009B7B70,4.59,US Dollar,4.59,US Dollar,
10-09-2022 0.11,8051E87A0,8009B7B70,6.12,US Dollar,6.12,US Dollar,
10-09-2022 0.09,800DF7EC0,8051F9600,702.93,US Dollar,702.93,US Dollar,
10-09-2022 0.14,800DF7EC0,8051F9600,1766.42,US Dollar,1766.42,US Dollar,
10-09-2022 0.27,8051FBE40,8046498E0,84.8,US Dollar,84.8,US Dollar,
10-09-2022 0.06,8051FB4D0,8128485B0,4.74,US Dollar,4.74,US Dollar,
10-09-2022 0.13,8051A4490,80F6E0D70,78.52,US Dollar,78.52,US Dollar,
10-09-2022 0.13,8051AD480,801B723F0,106.76,US Dollar,106.76,US Dollar,
10-09-2022 0.10,8051B0650,80F6E0D70,5.3,US Dollar,5.3,US Dollar,
10-09-2022 0.26,8051EC4E0,8127FF6A0,99.82,US Dollar,99.82,US Dollar,
10-09-2022 0.16,8051FE6C0,801B723F0,22.66,US Dollar,22.66,US Dollar,
10-09-2022 0.07,804F6C250,80520B170,690.52,US Dollar,690.52,US Dollar,
10-09-2022 0.16,804F6C250,80520B170,557.94,US Dollar,557.94,US Dollar,
10-09-2022 0.01,8050FE920,808FC4250,92.88,US Dollar,92.88,US Dollar,
10-09-2022 0.05,80521BD30,80EC57DC0,95.3,US Dollar,95.3,US Dollar,
10-09-2022 0.25,8024ADD40,805225770,1405.04,US Dollar,1405.04,US Dollar,
10-09-2022 0.22,8024ADD40,805225770,406.55,US Dollar,406.55,US Dollar,
10-09-2022 0.16,80522D930,805A3E9C0,28.71,US Dollar,28.71,US Dollar,
10-09-2022 0.14,803A2DBC0,80522DF80,848.76,US Dollar,848.76,US Dollar,
10-09-2022 0.27,803A2DBC0,80522DF80,814.44,US Dollar,814.44,US Dollar,
10-09-2022 0.16,80522E220,803C8C570,46.05,US Dollar,46.05,US Dollar,
10-09-2022 0.05,80522F750,80AAC1FE0,34.92,US Dollar,34.92,US Dollar,
10-09-2022 0.04,805232B30,80DFE4190,5.71,US Dollar,5.71,US Dollar,
10-09-2022 0.07,805235BF0,809368F30,8.01,US Dollar,8.01,US Dollar,
10-09-2022 0.04,8052519A0,804E7EF00,70.47,US Dollar,70.47,US Dollar,
10-09-2022 0.19,800C1CAB0,8052E5A10,1311.71,US Dollar,1311.71,US Dollar,
10-09-2022 0.06,800C1CAB0,8052E5A10,1029.45,US Dollar,1029.45,US Dollar,
10-09-2022 0.14,8052E82E0,81395CF60,9.6,US Dollar,9.6,US Dollar,
10-09-2022 0.21,8052E5060,807AE8B00,98.81,US Dollar,98.81,US Dollar,
10-09-2022 0.23,8028F78D0,8052F9D00,30132.49,US Dollar,30132.49,US Dollar,
10-09-2022 0.06,8028F78D0,8052F9D00,8094.8,US Dollar,8094.8,US Dollar,
10-09-2022 0.13,8028F78D0,8052F9D00,132426.28,US Dollar,132426.28,US Dollar,
10-09-2022 0.11,8052FC360,814413F00,30.95,US Dollar,30.95,US Dollar,
10-09-2022 0.17,8052F3DE0,81050BDB0,23.89,US Dollar,23.89,US Dollar,
10-09-2022 0.02,8053000A0,81144B2E0,6.77,US Dollar,6.77,US Dollar,
10-09-2022 0.05,805303680,80C3E4570,27.62,US Dollar,27.62,US Dollar,
10-09-2022 0.02,8052A5030,809220590,49.03,US Dollar,49.03,US Dollar,
10-09-2022 0.17,8052F10B0,80396E3E0,88.07,US Dollar,88.07,US Dollar,
10-09-2022 0.18,8053192E0,80C8FA240,33.12,US Dollar,33.12,US Dollar,
10-09-2022 0.15,80531B400,80C8FA240,23.29,US Dollar,23.29,US Dollar,
10-09-2022 0.27,80531CC60,811454420,34.45,US Dollar,34.45,US Dollar,
10-09-2022 0.00,80532AAB0,80C6C5F90,124.29,US Dollar,124.29,US Dollar,
10-09-2022 0.11,805327000,800CB43F0,137.25,US Dollar,137.25,US Dollar,
10-09-2022 0.15,805328690,800CB43F0,137.8,US Dollar,137.8,US Dollar,
10-09-2022 0.28,805362A00,8053623D0,2645.3,US Dollar,2645.3,US Dollar,
10-09-2022 0.22,805362B40,8053623D0,2818.5,US Dollar,2818.5,US Dollar,
10-09-2022 0.13,805360670,8053623D0,1683.01,US Dollar,1683.01,US Dollar,
10-09-2022 0.02,801A56BD0,80539AD50,100.2,US Dollar,100.2,US Dollar,
10-09-2022 0.09,801A56BD0,80539AD50,49.56,US Dollar,49.56,US Dollar,
10-09-2022 0.01,801A56BD0,80539AD50,0.69,US Dollar,0.69,US Dollar,
10-09-2022 0.00,80539D8E0,80E7F0C50,133.85,US Dollar,133.85,US Dollar,
10-09-2022 0.17,80539E1B0,8008CE990,56.71,US Dollar,56.71,US Dollar,
10-09-2022 0.03,8053A1850,80B853630,19.99,US Dollar,19.99,US Dollar,
10-09-2022 0.16,100428660,8053BF4A0,1959.01,US Dollar,1959.01,US Dollar,
10-09-2022 0.16,100428660,8053BF4A0,347.84,US Dollar,347.84,US Dollar,
10-09-2022 0.07,80153C820,8053DC260,944.43,US Dollar,944.43,US Dollar,
10-09-2022 0.24,80153C820,8053DC260,667.2,US Dollar,667.2,US Dollar,
10-09-2022 0.13,8053E1AE0,811820510,36.19,US Dollar,36.19,US Dollar,
10-09-2022 0.09,8053EF5E0,80B3BFD30,9.14,US Dollar,9.14,US Dollar,
10-09-2022 0.21,8053F3C20,8033A1820,13.45,US Dollar,13.45,US Dollar,
10-09-2022 0.18,8053F7D10,811723640,7.83,US Dollar,7.83,US Dollar,
10-09-2022 0.25,8053EC5D0,810AEB560,33.72,US Dollar,33.72,US Dollar,
10-09-2022 0.28,8053EDE30,80920CE00,400.09,US Dollar,400.09,US Dollar,
10-09-2022 0.14,8053F9460,810AEB560,35.24,US Dollar,35.24,US Dollar,
10-09-2022 0.02,805413210,810F388F0,477.78,US Dollar,477.78,US Dollar,
10-09-2022 0.14,805418360,80A8374A0,142.07,US Dollar,142.07,US Dollar,
10-09-2022 0.01,80543B940,806A3A5F0,140.78,US Dollar,140.78,US Dollar,
10-09-2022 0.14,80544BA10,8017A2230,32.61,US Dollar,32.61,US Dollar,
10-09-2022 0.07,80544C4A0,80DCB0F20,9.06,US Dollar,9.06,US Dollar,
10-09-2022 0.29,8054A9FF0,80C1474D0,20.81,US Dollar,20.81,US Dollar,
10-09-2022 0.03,8054AA1D0,80D18A0F0,34.03,US Dollar,34.03,US Dollar,
10-09-2022 0.29,8054AA4E0,801C40BF0,16.52,US Dollar,16.52,US Dollar,
10-09-2022 0.01,800E9AE30,8054AE710,979.42,US Dollar,979.42,US Dollar,
10-09-2022 0.14,800E9AE30,8054AE710,7434.96,US Dollar,7434.96,US Dollar,
10-09-2022 0.27,8054B0030,80761EBE0,47.78,US Dollar,47.78,US Dollar,
10-09-2022 0.12,8054B0150,80276DF70,21.61,US Dollar,21.61,US Dollar,
10-09-2022 0.17,8054B1630,8078101D0,17.78,US Dollar,17.78,US Dollar,
10-09-2022 0.26,8054B9E50,813451220,6.4,US Dollar,6.4,US Dollar,
10-09-2022 0.08,8054BD1B0,80B3479C0,32.22,US Dollar,32.22,US Dollar,
10-09-2022 0.21,8054B42D0,80B6C6800,26.34,US Dollar,26.34,US Dollar,
10-09-2022 0.26,8054B56F0,8032AA080,9.3,US Dollar,9.3,US Dollar,
10-09-2022 0.25,8054C4630,80B6C6800,24.7,US Dollar,24.7,US Dollar,
10-09-2022 0.08,804090460,803065790,15.45,US Dollar,15.45,US Dollar,
10-09-2022 0.03,80556F540,808D22320,17.4,US Dollar,17.4,US Dollar,
10-09-2022 0.01,805571FF0,80B638220,61.61,US Dollar,61.61,US Dollar,
